Input,Output
chunked/Input/Ger-01.wav,chunked/Output/Eng-01.wav
chunked/Input/Ger-02.wav,chunked/Output/Eng-02.wav
chunked/Input/Ger-03.wav,chunked/Output/Eng-03.wav
chunked/Input/Ger-04.wav,chunked/Output/Eng-04.wav
chunked/Input/Ger-05.wav,chunked/Output/Eng-05.wav
chunked/Input/Ger-06.wav,chunked/Output/Eng-06.wav
chunked/Input/Ger-07.wav,chunked/Output/Eng-07.wav
chunked/Input/Ger-08.wav,chunked/Output/Eng-08.wav
chunked/Input/Ger-09.wav,chunked/Output/Eng-09.wav
chunked/Input/Ger-10.wav,chunked/Output/Eng-10.wav
chunked/Input/Ger-100.wav,chunked/Output/Eng-100.wav
chunked/Input/Ger-101.wav,chunked/Output/Eng-101.wav
chunked/Input/Ger-102.wav,chunked/Output/Eng-102.wav
chunked/Input/Ger-103.wav,chunked/Output/Eng-103.wav
chunked/Input/Ger-104.wav,chunked/Output/Eng-104.wav
chunked/Input/Ger-105.wav,chunked/Output/Eng-105.wav
chunked/Input/Ger-106.wav,chunked/Output/Eng-106.wav
chunked/Input/Ger-107.wav,chunked/Output/Eng-107.wav
chunked/Input/Ger-108.wav,chunked/Output/Eng-108.wav
chunked/Input/Ger-109.wav,chunked/Output/Eng-109.wav
chunked/Input/Ger-11.wav,chunked/Output/Eng-11.wav
chunked/Input/Ger-110.wav,chunked/Output/Eng-110.wav
chunked/Input/Ger-111.wav,chunked/Output/Eng-111.wav
chunked/Input/Ger-112.wav,chunked/Output/Eng-112.wav
chunked/Input/Ger-113.wav,chunked/Output/Eng-113.wav
chunked/Input/Ger-114.wav,chunked/Output/Eng-114.wav
chunked/Input/Ger-115.wav,chunked/Output/Eng-115.wav
chunked/Input/Ger-116.wav,chunked/Output/Eng-116.wav
chunked/Input/Ger-117.wav,chunked/Output/Eng-117.wav
chunked/Input/Ger-118.wav,chunked/Output/Eng-118.wav
chunked/Input/Ger-119.wav,chunked/Output/Eng-119.wav
chunked/Input/Ger-12.wav,chunked/Output/Eng-12.wav
chunked/Input/Ger-120.wav,chunked/Output/Eng-120.wav
chunked/Input/Ger-121.wav,chunked/Output/Eng-121.wav
chunked/Input/Ger-122.wav,chunked/Output/Eng-122.wav
chunked/Input/Ger-123.wav,chunked/Output/Eng-123.wav
chunked/Input/Ger-124.wav,chunked/Output/Eng-124.wav
chunked/Input/Ger-125.wav,chunked/Output/Eng-125.wav
chunked/Input/Ger-126.wav,chunked/Output/Eng-126.wav
chunked/Input/Ger-127.wav,chunked/Output/Eng-127.wav
chunked/Input/Ger-128.wav,chunked/Output/Eng-128.wav
chunked/Input/Ger-129.wav,chunked/Output/Eng-129.wav
chunked/Input/Ger-13.wav,chunked/Output/Eng-13.wav
chunked/Input/Ger-130.wav,chunked/Output/Eng-130.wav
chunked/Input/Ger-131.wav,chunked/Output/Eng-131.wav
chunked/Input/Ger-132.wav,chunked/Output/Eng-132.wav
chunked/Input/Ger-133.wav,chunked/Output/Eng-133.wav
chunked/Input/Ger-134.wav,chunked/Output/Eng-134.wav
chunked/Input/Ger-135.wav,chunked/Output/Eng-135.wav
chunked/Input/Ger-136.wav,chunked/Output/Eng-136.wav
